1.179.41.241     #AS12975   1.179.40.0/21      PS   PALTEL-AS - Palestine Telecommunications Company (PALTEL), PS
143.198.115.76   #AS14061   143.198.112.0/20   US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
144.126.201.197  #AS14061   144.126.192.0/20   US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
146.88.241.21    #AS20052   146.88.240.0/23    US   ARBOR - Arbor Networks, Inc., US
146.88.241.33    #AS20052   146.88.240.0/23    US   ARBOR - Arbor Networks, Inc., US
146.88.241.47    #AS20052   146.88.240.0/23    US   ARBOR - Arbor Networks, Inc., US
146.88.241.61    #AS20052   146.88.240.0/23    US   ARBOR - Arbor Networks, Inc., US
146.88.241.150   #AS20052   146.88.240.0/23    US   ARBOR - Arbor Networks, Inc., US
146.190.124.205  #AS14061   146.190.112.0/20   US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
147.90.235.216   #AS27284   147.90.234.0/23    NL   FOURPLEX-ASN - Fourplex Telecom LLC, US
147.185.132.27   #AS396982  147.185.132.0/22   US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
147.185.132.75   #AS396982  147.185.132.0/22   US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
147.185.132.100  #AS396982  147.185.132.0/22   US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
147.185.132.150  #AS396982  147.185.132.0/22   US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
147.203.255.20   #AS11320   147.203.128.0/17   US   LIGHTEDGE-AS-02 - LightEdge Solutions, US
151.243.11.52    #AS209630  151.243.11.0/24    AE   KREDIT-AS - LLC VASH KREDIT BANK, UA
151.243.11.241   #AS209630  151.243.11.0/24    AE   KREDIT-AS - LLC VASH KREDIT BANK, UA
151.243.11.242   #AS209630  151.243.11.0/24    AE   KREDIT-AS - LLC VASH KREDIT BANK, UA
152.32.133.103   #AS135377  152.32.133.0/24    HK   UCLOUD-HK-AS-AP - UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK
154.16.44.199    #AS25369   154.16.44.0/24     ZA   BANDWIDTH-AS - Hydra Communications Ltd, GB
156.225.1.10     #AS9465    156.225.1.0/24     SC   AGOTOZPTELTD-AS-AP - AGOTOZ PTE. LTD., SG
156.229.163.164  #AS213169  156.229.160.0/21   SC   Catixs-Edge - Catixs Ltd, GB
157.100.112.143  #AS27947   157.100.112.0/24   EC   AS27947 - Telconet S.A, EC
159.223.105.163  #AS14061   159.223.96.0/20    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
161.35.238.241   #AS14061   161.35.224.0/20    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
163.5.59.20      #AS198831  163.5.59.0/24      FR   HOLYCLOUD - GENIUSWEER SAS, FR
164.92.203.117   #AS14061   164.92.192.0/20    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
