89.248.167.131   #AS202425  89.248.167.0/24    NL   INT-NETWORK - IP Volume inc, SC
91.231.89.45     #AS213412  91.231.89.0/24     FR   ONYPHE - ONYPHE SAS, FR
93.123.109.23    #AS48090   93.123.109.0/24    BG   DMZHOST - TECHOFF SRV LIMITED, GB
93.174.95.106    #AS202425  93.174.95.0/24     NL   INT-NETWORK - IP Volume inc, SC
94.154.43.36     #AS219502  94.154.43.0/24     UA   STORMCLOUD-AS - Storm Industries LLC, US
95.215.0.144     #AS44050   95.215.0.0/24      RU   PIN-AS - Petersburg Internet Network ltd., RU
98.89.204.118    #AS14618   98.88.0.0/13       US   AMAZON-AES - Amazon.com, Inc., US
100.26.102.117   #AS14618   100.24.0.0/13      US   AMAZON-AES - Amazon.com, Inc., US
100.29.192.122   #AS14618   100.24.0.0/13      US   AMAZON-AES - Amazon.com, Inc., US
100.49.117.77    #AS14618   100.48.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
100.58.171.235   #AS14618   100.48.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
100.59.45.97     #AS14618   100.48.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
100.59.196.196   #AS14618   100.48.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
104.243.35.120   #AS23470   104.243.35.0/24    US   RELIABLESITE - ReliableSite.Net LLC, US
104.248.221.51   #AS14061   104.248.208.0/20   US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
106.75.175.91    #AS58466   106.75.160.0/20    CN   CT-Guangzhou-IDC - CHINANET Guangdong province network, CN
107.20.121.14    #AS14618   107.20.0.0/16      US   AMAZON-AES - Amazon.com, Inc., US
107.22.139.7     #AS14618   107.22.0.0/16      US   AMAZON-AES - Amazon.com, Inc., US
111.162.158.162  #AS4837    111.160.0.0/13     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
123.119.12.39    #AS4808    123.119.0.0/18     CN   CHINA169-BJ - China Unicom Beijing Province Network, CN
128.203.201.254  #AS8075    128.203.0.0/16     GB   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
130.131.162.246  #AS8075    130.131.0.0/16     GB   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
131.161.177.1    #AS264384  131.161.176.0/23   BR   AS264384 - LINEJET SERVICOS DE TELECOMUNICACOES LTDA, BR
