AS14618    IP: 34.197.70.90      PREFIX: 34.192.0.0/12        CC: US  DESC: AMAZON-AES - Amazon.com, Inc., US
AS14618    IP: 100.29.192.85     PREFIX: 100.24.0.0/13        CC: US  DESC: AMAZON-AES - Amazon.com, Inc., US
AS14618    IP: 100.29.192.98     PREFIX: 100.24.0.0/13        CC: US  DESC: AMAZON-AES - Amazon.com, Inc., US
AS14618    IP: 100.29.192.105    PREFIX: 100.24.0.0/13        CC: US  DESC: AMAZON-AES - Amazon.com, Inc., US
AS14618    IP: 100.49.117.77     PREFIX: 100.48.0.0/12        CC: US  DESC: AMAZON-AES - Amazon.com, Inc., US
AS14618    IP: 100.50.17.159     PREFIX: 100.48.0.0/12        CC: US  DESC: AMAZON-AES - Amazon.com, Inc., US
AS16509    IP: 3.16.55.14        PREFIX: 3.16.0.0/14          CC: US  DESC: AMAZON-02 - Amazon.com, Inc., US
AS16509    IP: 3.24.191.170      PREFIX: 3.24.0.0/14          CC: US  DESC: AMAZON-02 - Amazon.com, Inc., US
AS16509    IP: 3.101.240.79      PREFIX: 3.101.0.0/16         CC: US  DESC: AMAZON-02 - Amazon.com, Inc., US
AS16509    IP: 3.101.240.167     PREFIX: 3.101.0.0/16         CC: US  DESC: AMAZON-02 - Amazon.com, Inc., US
AS16509    IP: 3.129.207.165     PREFIX: 3.128.0.0/15         CC: US  DESC: AMAZON-02 - Amazon.com, Inc., US
AS16509    IP: 3.131.24.55       PREFIX: 3.131.0.0/16         CC: US  DESC: AMAZON-02 - Amazon.com, Inc., US
AS16509    IP: 3.135.224.43      PREFIX: 3.132.0.0/14         CC: US  DESC: AMAZON-02 - Amazon.com, Inc., US
AS16509    IP: 13.238.102.51     PREFIX: 13.236.0.0/14        CC: US  DESC: AMAZON-02 - Amazon.com, Inc., US
AS16509    IP: 18.189.74.1       PREFIX: 18.189.0.0/16        CC: US  DESC: AMAZON-02 - Amazon.com, Inc., US
AS16509    IP: 18.190.15.50      PREFIX: 18.190.0.0/16        CC: US  DESC: AMAZON-02 - Amazon.com, Inc., US
AS16509    IP: 18.217.208.51     PREFIX: 18.216.0.0/14        CC: US  DESC: AMAZON-02 - Amazon.com, Inc., US
AS16509    IP: 18.221.179.104    PREFIX: 18.220.0.0/14        CC: US  DESC: AMAZON-02 - Amazon.com, Inc., US
AS16509    IP: 54.66.150.182     PREFIX: 54.66.128.0/17       CC: US  DESC: AMAZON-02 - Amazon.com, Inc., US
