192.244.80.0/20 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
192.244.144.0/20 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
192.244.196.0/22 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
192.244.208.0/20 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
192.244.228.0/22 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
192.244.254.0/24 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
202.11.0.0/21 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
202.11.8.0/22 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
202.11.96.0/20 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
202.11.138.0/24 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
202.11.166.0/23 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
