141.215.0.0/16 #AS62676 UMD-PUBLIC-AS University of Michigan - Dearborn, US
61.75.198.0/23 #AS9631 YSU-AS youngsan university, KR
61.75.200.0/23 #AS9631 YSU-AS youngsan university, KR
61.76.236.0/22 #AS9631 YSU-AS youngsan university, KR
121.67.137.0/24 #AS9631 YSU-AS youngsan university, KR
210.110.44.0/22 #AS9631 YSU-AS youngsan university, KR
211.220.228.0/22 #AS9631 YSU-AS youngsan university, KR
211.220.232.0/24 #AS9631 YSU-AS youngsan university, KR
220.77.176.0/23 #AS9631 YSU-AS youngsan university, KR
220.119.248.0/22 #AS9631 YSU-AS youngsan university, KR
221.164.0.0/22 #AS9631 YSU-AS youngsan university, KR
221.164.5.0/24 #AS9631 YSU-AS youngsan university, KR
221.164.68.0/22 #AS9631 YSU-AS youngsan university, KR
199.254.112.0/22 #AS46358 UAT University of Advancing Technology, US
199.254.116.0/23 #AS46358 UAT University of Advancing Technology, US
199.254.118.0/24 #AS46358 UAT University of Advancing Technology, US
143.207.0.0/16 #AS19106 ANDREWS Andrews University, US
203.230.112.0/23 #AS17868 HYUPSUNG-NET-AS Hyupsung University, KR
203.230.115.0/24 #AS17868 HYUPSUNG-NET-AS Hyupsung University, KR
220.66.29.0/24 #AS17868 HYUPSUNG-NET-AS Hyupsung University, KR
128.151.0.0/16 #AS20 UR University of Rochester, US
192.5.53.0/24 #AS20 UR University of Rochester, US
199.89.214.0/24 #AS20 UR University of Rochester, US
202.254.196.0/22 #AS18279 BUKKYO-U Bukkyo University, JP
66.202.192.0/19 #AS30154 DAVEN Davenport University, US
66.202.224.0/24 #AS30154 DAVEN Davenport University, US
139.102.0.0/16 #AS399315 INDSTATE Indiana State University, US
152.33.0.0/16 #AS32417 ELONU-AS Elon University, US
202.30.46.0/23 #AS10045 TNUTNET-AS Hanbat National University, KR
203.230.96.0/21 #AS10045 TNUTNET-AS Hanbat National University, KR
203.230.104.0/22 #AS10045 TNUTNET-AS Hanbat National University, KR
210.98.40.0/22 #AS10045 TNUTNET-AS Hanbat National University, KR
210.110.245.0/24 #AS10045 TNUTNET-AS Hanbat National University, KR
210.110.246.0/23 #AS10045 TNUTNET-AS Hanbat National University, KR
210.110.248.0/22 #AS10045 TNUTNET-AS Hanbat National University, KR
210.119.112.0/24 #AS10045 TNUTNET-AS Hanbat National University, KR
220.66.143.0/24 #AS10045 TNUTNET-AS Hanbat National University, KR
220.66.144.0/22 #AS10045 TNUTNET-AS Hanbat National University, KR
220.66.148.0/23 #AS10045 TNUTNET-AS Hanbat National University, KR
223.194.160.0/22 #AS10045 TNUTNET-AS Hanbat National University, KR
223.194.192.0/22 #AS10045 TNUTNET-AS Hanbat National University, KR
83.212.204.0/22 #AS8611 ATHENS-UNIVERSITY-OF Athens University of Economics and Business, GR
195.251.232.0/22 #AS8611 ATHENS-UNIVERSITY-OF Athens University of Economics and Business, GR
195.251.248.0/21 #AS8611 ATHENS-UNIVERSITY-OF Athens University of Economics and Business, GR
192.55.87.0/24 #AS14255 AS-USD University of San Diego, US
192.195.153.0/24 #AS14255 AS-USD University of San Diego, US
192.195.154.0/23 #AS14255 AS-USD University of San Diego, US
208.71.25.0/24 #AS14255 AS-USD University of San Diego, US
208.71.27.0/24 #AS14255 AS-USD University of San Diego, US
186.85.242.0/24 #AS263710 CORPORACION-UNIVERSITARIA-MINUTO Corporación Universitaria Minuto de Dios, CO
200.10.154.0/24 #AS263710 CORPORACION-UNIVERSITARIA-MINUTO Corporación Universitaria Minuto de Dios, CO
