100.42.160.0/20 #AS13692 DFN-ASN-1 - Douglas FastNet, US
103.187.152.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.187.156.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.187.184.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.187.188.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.187.218.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.187.220.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.187.234.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.187.236.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.188.32.0/21 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.189.191.0/24 #AS16276 OVH, FR
103.189.94.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.19.0.0/24 #AS4785 XTOM-AS-JP xTom, JP
103.190.222.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.190.224.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.190.76.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.191.0.0/21 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.191.12.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.191.148.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.191.176.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.191.52.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.191.8.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.19.2.0/23 #AS4785 XTOM-AS-JP xTom, JP
103.192.160.0/22 #AS12886 LEWTELNET Oskar-von-Miller-Str. 1b, DE
103.192.224.0/23 #AS9312 XTOM xTom, HK
103.192.227.0/24 #AS9312 XTOM xTom, HK
103.193.131.0/24 #AS9312 XTOM xTom, HK
103.195.208.0/20 #AS4758 NICNET-VSNL-BOARDER-AP National Informatics Centre, IN
103.19.60.0/22 #AS15830 EQUINIX, NL
103.196.8.0/23 #AS9009 M247, RO
103.198.176.0/24 #AS7699 CTL-AS-AP Cabos de Timor-Leste, E.P., TL
103.198.36.0/22 #AS15830 EQUINIX, NL
103.199.80.0/24 #AS16276 OVH, FR
103.199.98.0/23 #AS931 HYONIX - Hyonix, SG
103.200.204.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.201.129.0/24 #AS4785 XTOM-AS-JP xTom, JP
103.20.246.0/23 #AS15830 EQUINIX, NL
