212.80.204.0/22 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
212.115.111.0/24 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
98.159.64.0/20 #AS36146 ARKWEST-COMMUICATIONS Arkwest Communications Inc, US
162.249.228.0/22 #AS36146 ARKWEST-COMMUICATIONS Arkwest Communications Inc, US
206.84.84.0/22 #AS36146 ARKWEST-COMMUICATIONS Arkwest Communications Inc, US
208.87.168.0/22 #AS40558 AS-WPI WorldPoint Communications Inc., US
185.163.134.0/23 #AS207040 ASN-OBWAN OBWAN NETWORK AND SERVICES S.L., ES
103.184.136.0/24 #AS136451 NNC-AS-AP Nur Network Communication, BD
160.30.70.0/24 #AS136451 NNC-AS-AP Nur Network Communication, BD
42.83.130.0/23 #AS24406 CNNIC-CRITICAL-AP China Internet Network Infomation Center, CN
42.83.132.0/23 #AS24406 CNNIC-CRITICAL-AP China Internet Network Infomation Center, CN
42.83.134.0/24 #AS24406 CNNIC-CRITICAL-AP China Internet Network Infomation Center, CN
42.83.189.0/24 #AS24406 CNNIC-CRITICAL-AP China Internet Network Infomation Center, CN
42.83.190.0/24 #AS24406 CNNIC-CRITICAL-AP China Internet Network Infomation Center, CN
125.208.32.0/22 #AS24406 CNNIC-CRITICAL-AP China Internet Network Infomation Center, CN
125.208.36.0/24 #AS24406 CNNIC-CRITICAL-AP China Internet Network Infomation Center, CN
125.208.40.0/24 #AS24406 CNNIC-CRITICAL-AP China Internet Network Infomation Center, CN
125.208.42.0/23 #AS24406 CNNIC-CRITICAL-AP China Internet Network Infomation Center, CN
125.208.44.0/24 #AS24406 CNNIC-CRITICAL-AP China Internet Network Infomation Center, CN
125.208.49.0/24 #AS24406 CNNIC-CRITICAL-AP China Internet Network Infomation Center, CN
203.119.26.0/23 #AS24406 CNNIC-CRITICAL-AP China Internet Network Infomation Center, CN
203.119.28.0/22 #AS24406 CNNIC-CRITICAL-AP China Internet Network Infomation Center, CN
193.247.146.0/24 #AS6732 CYBERLINK-TRANSIT Cyberlink AG, CH
79.170.1.0/24 #AS43706 ICCSAT Network Channels Communications Company, SA
103.83.64.0/22 #AS37969 AIDC-CN Zhejiang WuLian Network Technology Co. Ltd., CN
103.98.92.0/22 #AS37969 AIDC-CN Zhejiang WuLian Network Technology Co. Ltd., CN
103.98.96.0/22 #AS37969 AIDC-CN Zhejiang WuLian Network Technology Co. Ltd., CN
157.15.94.0/23 #AS37969 AIDC-CN Zhejiang WuLian Network Technology Co. Ltd., CN
103.25.164.0/24 #AS134856 VDNHOST-AS-IN VD NETWORKS INDIA PVT LTD, IN
103.182.153.0/24 #AS134856 VDNHOST-AS-IN VD NETWORKS INDIA PVT LTD, IN
195.46.39.0/24 #AS57926 SAFEDNS-AS SafeDNS Inc., US
45.190.136.0/22 #AS269647 FROHLICH-FERREIRA PAPAGAIO NETWORKS LTDA, BR
83.220.192.0/19 #AS12388 CABLESURF Virgin Media Ireland Limited, IE
103.116.48.0/24 #AS137880 PRIME-AS-AP Prime Network Pvt.ltd, NP
103.137.10.0/24 #AS137880 PRIME-AS-AP Prime Network Pvt.ltd, NP
103.157.90.0/23 #AS137880 PRIME-AS-AP Prime Network Pvt.ltd, NP
103.85.92.0/23 #AS132964 FIBSOL-AS Fibernet Solutions (opc) Pvt. Ltd., IN
103.134.248.0/23 #AS132964 FIBSOL-AS Fibernet Solutions (opc) Pvt. Ltd., IN
103.159.168.0/23 #AS132964 FIBSOL-AS Fibernet Solutions (opc) Pvt. Ltd., IN
138.252.234.0/23 #AS132964 FIBSOL-AS Fibernet Solutions (opc) Pvt. Ltd., IN
103.31.228.0/22 #AS147188 RNPL-AS-AP Rocket Network Pte. Ltd., SG
103.47.28.0/22 #AS147188 RNPL-AS-AP Rocket Network Pte. Ltd., SG
103.142.252.0/23 #AS147188 RNPL-AS-AP Rocket Network Pte. Ltd., SG
