13.212.68.62 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.212.82.112 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.212.94.27 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.212.110.146 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.212.110.232 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.212.111.28 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.212.127.230 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.212.128.184 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.212.144.191 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.212.177.75 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.212.178.14 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.212.185.56 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.212.202.164 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.212.218.133 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.212.227.83 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.213.2.50 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.213.29.32 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.213.38.144 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.213.51.66 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.213.51.91 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.213.54.100 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.213.54.205 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.213.59.190 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.214.33.64 #AS16509 PREFIX: 13.214.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.214.134.51 #AS16509 PREFIX: 13.214.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.214.138.5 #AS16509 PREFIX: 13.214.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.214.153.228 #AS16509 PREFIX: 13.214.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.214.154.18 #AS16509 PREFIX: 13.214.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.214.160.114 #AS16509 PREFIX: 13.214.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.214.163.89 #AS16509 PREFIX: 13.214.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.214.165.179 #AS16509 PREFIX: 13.214.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.214.166.94 #AS16509 PREFIX: 13.214.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.214.173.79 #AS16509 PREFIX: 13.214.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.214.195.230 #AS16509 PREFIX: 13.214.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.214.221.86 #AS16509 PREFIX: 13.214.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.215.46.196 #AS16509 PREFIX: 13.214.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.215.59.173 #AS16509 PREFIX: 13.214.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.215.60.239 #AS16509 PREFIX: 13.214.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.215.189.131 #AS16509 PREFIX: 13.214.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.215.194.9 #AS16509 PREFIX: 13.214.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
