# Last 14 days where more than 2 ports overlap per host
# Common ports included in list if not already part of top50 ports found:
# 21,22,23,53,80,123,139,161,162,389,443,445,500,1001,3306,3389,4500,5000,5001,5900,8000,8001,8080,8443,10000
#
# PORTS REPORTED ON INCL TOP50 FOUND
# 0,21,22,23,53,68,80,81,82,83,88,123,137,139,161,162,389,443,445,500,1001,1433,1900,2222,2375,3000,3306,3389,4500,5000,5001,5021,5060,5122,5432,5555,5900,6021,6080,6379,7777,8000,8001,8080,8081,8082,8088,8443,8728,8888,9000,9200,9443,10000,17000,27015,27017
#
#
34.230.221.101   #AS14618    13 ports   110,111,143,1433,2087,23,3389,6379,6443,8000,8181,8443,88 AMAZON-AES - Amazon.com, Inc., US
43.228.157.10    #AS205759   13 ports   1080,123,22,2222,443,53,5432,68,7777,80,8080,9000,9090 GHOSTYNETWORKS - Ghosty Networks LLC, US
95.129.234.51    #AS57724    13 ports   123,161,22,23,25,3306,3389,443,445,5060,53,5900,80 DDOS-GUARD - DDOS-GUARD LTD, RU
151.243.11.245   #AS209630   12 ports   443,5000,80,8000,8080,8081,8083,8090,8181,8443,88,8888 KREDIT-AS - LLC VASH KREDIT BANK, UA
167.94.145.21    #AS398705   12 ports   10001,1723,2087,23,25565,443,445,554,8000,8080,9090,9200 CENSYS-ARIN-02 - Censys, Inc., US
199.45.154.183   #AS398722   12 ports   2087,22,3389,389,500,5060,554,6379,80,8008,81,9090 CENSYS-ARIN-03 - Censys, Inc., US
199.45.154.190   #AS398722   12 ports   10001,111,123,3000,500,5000,5060,5432,5900,8088,83,9000 CENSYS-ARIN-03 - Censys, Inc., US
43.228.157.9     #AS205759   12 ports   1080,123,22,2222,23,443,53,5432,7777,8080,9000,9090 GHOSTYNETWORKS - Ghosty Networks LLC, US
45.142.154.98    #AS9465     12 ports   110,111,143,1723,2087,2222,3000,3389,5000,5001,7777,8000 AGOTOZPTELTD-AS-AP - AGOTOZ PTE. LTD., SG
66.240.236.109   #AS10439    12 ports   139,1900,21,22,23,25,27017,3306,445,53,6379,9200 CARINET - CariNet, Inc., US
71.6.135.131     #AS10439    12 ports   1433,17000,2087,2222,7001,7777,8001,8083,8088,8090,8181,9000 CARINET - CariNet, Inc., US
73.212.14.186    #AS7922     12 ports   1900,22,2222,23,25,3306,3389,443,445,5555,7547,8080 COMCAST-7922 - Comcast Cable Communications, LLC, US
79.124.56.246    #AS50360    12 ports   10001,1001,111,2222,500,5000,5021,6080,81,83,9200,9443 TAMATIYA-AS - Tamatiya EOOD, BG
79.124.60.146    #AS50360    12 ports   123,25565,3000,3306,445,5432,5555,5900,6443,8008,82,9200 TAMATIYA-AS - Tamatiya EOOD, BG
94.154.43.243    #AS219502   12 ports   17000,23,443,5000,80,8080,8081,8082,81,82,83,88 STORMCLOUD-AS - Storm Industries LLC, US
98.90.43.197     #AS14618    12 ports   143,161,162,22,23,3306,3389,389,53,5900,8088,9443 AMAZON-AES - Amazon.com, Inc., US
156.225.1.99     #AS9465     11 ports   10000,161,500,8001,8081,8082,8088,8090,8888,9000,9443 AGOTOZPTELTD-AS-AP - AGOTOZ PTE. LTD., SG
160.119.76.59    #AS49870    11 ports   1080,111,1723,25565,54322,6443,7001,8008,8083,8181,9090 #AS49870-BV - Alsycon B.V., NL
167.94.145.19    #AS398705   11 ports   1080,1433,2087,5900,6379,6443,8008,8080,81,8888,9000 CENSYS-ARIN-02 - Censys, Inc., US
176.32.193.16    #AS197834   11 ports   10001,21,22,27017,3000,3389,5000,5900,6379,80,83 INTERACTIVE - Ucom CJSC, AM
185.107.80.93    #AS43350    11 ports   22,2375,27017,3000,5432,6379,6443,8080,8888,9000,9090 NFORCE - NForce Entertainment B.V., NL
195.178.110.100  #AS48090    11 ports   3000,443,5000,5001,6080,7777,80,8000,8001,81,88 DMZHOST - TECHOFF SRV LIMITED, GB
199.45.154.179   #AS398722   11 ports   137,161,2087,2222,3389,5432,554,6379,8008,8888,9090 CENSYS-ARIN-03 - Censys, Inc., US
199.45.154.182   #AS398722   11 ports   1080,161,3000,3389,443,554,6443,8000,8081,8088,9090 CENSYS-ARIN-03 - Censys, Inc., US
