185.109.4.0/22 #AS5466 EIRCOM Internet House, IE
185.111.112.0/22 #AS60277 TELCOM-01, IE
185.111.140.0/22 #AS44384 Crossan CableComm Ltd, IE
185.11.27.0/24 #AS211771 ASG, IE
185.113.232.0/22 #AS29644 AIRSPEED-AS, IE
185.114.160.0/22 #AS15502 VODAFONE-IRELAND-ASN, IE
185.114.16.0/22 #AS12372 CUBIC-TELECOM, IE
185.11.64.0/22 #AS200565 IVERTEC, IE
185.12.156.0/24 #AS199346 KBB-AS, IE
185.12.157.0/24 #AS207044 ENET-AS, IE
185.12.158.0/23 #AS199346 KBB-AS, IE
185.122.132.0/22 #AS56410 HOST-IRELAND-AS, IE
185.124.204.0/22 #AS203754 ASPHONEPULSE, IE
185.129.132.0/22 #AS57791 ARDEN-AS, IE
185.136.188.0/23 #AS203366 BMCSAAS-AMS, IE
185.136.252.0/22 #AS48970 NATUS, IE
185.137.20.0/22 #AS47720 CIX-AS, IE
185.138.112.0/22 #AS207044 ENET-AS, IE
185.140.52.0/24 #AS213576 ERTIUS-NET, IE
185.140.92.0/22 #AS47942 REGB-AS, IE
185.144.124.0/22 #AS16171 STRENCOM, IE
185.144.97.0/24 #AS200186 SEITH-IT-HTZNR-DC1, IE
185.145.80.0/22 #AS207044 ENET-AS, IE
185.146.180.0/22 #AS2110 AS-BTIRE BT Ireland was previously known as Esat Net, EUnet Ireland & IEUnet., IE
185.146.184.0/22 #AS16171 STRENCOM, IE
185.150.170.0/23 #AS43192 IMEDIA-AS, IE
185.150.220.0/23 #AS202823 OFFICEIT, IE
185.152.4.0/22 #AS30900 WEBWORLD-AS ta Web World Ireland, IE
185.152.72.0/22 #AS215733 BKBB, IE
185.154.76.0/22 #AS43192 IMEDIA-AS, IE
185.155.228.0/24 #AS215440 CELLUSYS, IE
185.156.196.0/22 #AS56410 HOST-IRELAND-AS, IE
185.159.36.0/22 #AS15405 EASTCORK-AS, IE
185.167.180.0/24 #AS206663 MTS-MEDIA, IE
185.167.196.0/22 #AS207044 ENET-AS, IE
185.1.69.0/24 #AS42953 INEX-CORK, IE
185.169.228.0/22 #AS211439 LOCOTORPI, IE
185.17.238.0/23 #AS39122 BLACKNIGHT-AS, IE
185.173.164.0/23 #AS200807 SLEEPLESS-IE-AS, IE
185.173.166.0/24 #AS200807 SLEEPLESS-IE-AS, IE
185.173.167.0/24 #AS39122 BLACKNIGHT-AS, IE
185.175.168.0/22 #AS47720 CIX-AS, IE
185.176.0.0/22 #AS47720 CIX-AS, IE
185.176.100.0/22 #AS206746 SCCBROADBAND-AS, IE
185.176.12.0/22 #AS42227 AIRWIRE-AS Airwire, IE
185.176.128.0/22 #AS30900 WEBWORLD-AS ta Web World Ireland, IE
185.177.184.0/22 #AS60924 ORIXCOM, IE
185.178.64.0/22 #AS47490 TUXBOX-AS TuxBox - www.tuxbox.nu, IE
185.178.66.0/23 #AS39485 NORTHWEST-AS Northwest Broadband, IE
185.178.68.0/22 #AS206723 CARNSOREBROADBAND, IE
185.178.68.0/22 #AS60110 MODELTELECOM, IE
185.179.43.0/24 #AS206309 REGENERON-AS, IE
185.180.147.0/24 #AS211439 LOCOTORPI, IE
185.180.240.0/22 #AS42090 RAPIDBB, IE
185.18.221.0/24 #AS214973 AXST-IO, IE
185.182.72.0/22 #AS31122 DIGIWEB-AS, IE
185.186.67.0/24 #AS216141 LEATYON-AS, IE
185.190.204.0/22 #AS60277 TELCOM-01, IE
185.191.156.0/22 #AS207044 ENET-AS, IE
185.191.159.0/24 #AS207382 JK-WIRELESS, IE
185.192.152.0/22 #AS42090 RAPIDBB, IE
185.192.89.0/24 #AS204597 WAYFAIR, IE
185.202.16.0/22 #AS5466 EIRCOM Internet House, IE
185.20.255.0/24 #AS211439 LOCOTORPI, IE
185.202.68.0/22 #AS15405 EASTCORK-AS, IE
185.204.136.0/24 #AS39122 BLACKNIGHT-AS, IE
185.204.137.0/24 #AS213128 LINK-BROADBAND-LTD, IE
185.204.138.0/23 #AS213128 LINK-BROADBAND-LTD, IE
185.205.223.0/24 #AS211439 LOCOTORPI, IE
185.205.228.0/22 #AS31122 DIGIWEB-AS, IE
185.206.192.0/22 #AS215733 BKBB, IE
185.208.4.0/23 #AS205743 MUNSTER, IE
185.208.7.0/24 #AS205743 MUNSTER, IE
185.209.164.0/22 #AS39122 BLACKNIGHT-AS, IE
185.211.252.0/22 #AS201000 WHIZZY-FTTX, IE
185.212.184.0/24 #AS39093 WESTNET-IE WISP coverage - West of Ireland, IE
185.213.132.0/22 #AS49567 APTUS-AS, IE
185.215.108.0/22 #AS2110 AS-BTIRE BT Ireland was previously known as Esat Net, EUnet Ireland & IEUnet., IE
185.217.20.0/24 #AS205437 DAWNMEATS, IE
185.219.89.0/24 #AS213483 ASTRIVE-AS, IE
185.22.156.0/22 #AS15405 EASTCORK-AS, IE
185.221.85.0/24 #AS206998 NEW-2, IE
185.226.107.0/24 #AS211439 LOCOTORPI, IE
185.226.216.0/24 #AS205189 BOIGROUP, IE
185.227.220.0/22 #AS50326 IPTELECOM-AS, IE
185.23.196.0/22 #AS60924 ORIXCOM, IE
185.232.144.0/22 #AS204990 BLUECLOUD, IE
185.233.129.0/24 #AS211054 ARISTA-EU, IE
185.233.176.0/22 #AS31122 DIGIWEB-AS, IE
185.237.148.0/22 #AS201000 WHIZZY-FTTX, IE
185.238.172.0/24 #AS199170 DIDWW-MI-AS, IE
185.238.172.0/24 #AS207319 DIDWW-SG-AS, IE
185.238.172.0/24 #AS212893 DIDWW-LA-AS, IE
185.238.172.0/24 #AS51865 DIDWW-AS, IE
185.238.173.0/24 #AS198046 DIDWW-AMS-AS, IE
185.242.236.0/23 #AS31122 DIGIWEB-AS, IE
185.242.238.0/23 #AS212312 EXIGENT, IE
185.243.140.0/22 #AS207044 ENET-AS, IE
185.247.52.0/22 #AS25441 IBIS-AS Imagine Group Ltd., IE
185.253.204.0/22 #AS201111 AS_FINTRAX, IE
185.2.64.0/22 #AS39122 BLACKNIGHT-AS, IE
185.31.96.0/22 #AS196737 AIRWAVE, IE
185.32.152.0/22 #AS56410 HOST-IRELAND-AS, IE
185.32.252.0/22 #AS60277 TELCOM-01, IE
185.34.106.0/23 #AS60229 DEMONWARE, IE
185.34.120.0/22 #AS43406 LIGHTHOUSE-AS, IE
185.38.60.0/22 #AS200046 SMYTHCABLEVISION, IE
185.39.164.0/22 #AS201310 AS_DPD, IE
185.42.52.0/22 #AS44212 ADELPHINET1-AS, IE
185.43.195.0/24 #AS199873 EZETOP, IE
185.46.252.0/22 #AS39093 WESTNET-IE WISP coverage - West of Ireland, IE
185.47.144.0/22 #AS31122 DIGIWEB-AS, IE
185.49.60.0/22 #AS47720 CIX-AS, IE
185.50.100.0/22 #AS202148 BOYLESPORTS-AS, IE
185.51.104.0/22 #AS29644 AIRSPEED-AS, IE
185.51.160.0/23 #AS62017 CGATE-AS World Trade Center, Edifici Nord, planta 4, IE
185.51.72.0/23 #AS15751 METEORMOBILECOMMS-AS, IE
185.5.240.0/22 #AS51677 HETG-AS, IE
185.52.92.0/22 #AS39449 FASTCOM-AS, IE
185.53.32.0/24 #AS31122 DIGIWEB-AS, IE
185.53.35.0/24 #AS31122 DIGIWEB-AS, IE
185.54.104.0/22 #AS41073 RTE, IE
185.55.200.0/22 #AS60155 ORIONDIGTALSERVICESAS, IE
185.55.204.0/22 #AS62129 WIRELESSCONNECT16, IE
185.57.100.0/22 #AS56410 HOST-IRELAND-AS, IE
185.57.112.0/22 #AS5466 EIRCOM Internet House, IE
185.57.116.0/22 #AS47720 CIX-AS, IE
