177.128.112.0/22 #AS269988 BINET NETWORKING DATA LIMITADA, CL
177.12.88.0/22 #AS270034 AKY TELECOM SPA, CL
177.221.140.0/23 #AS270014 GRUPO CG LIMITADA, CL
179.0.152.0/22 #AS52494 MULTI ASSIST S.A., CL
179.0.2.0/23 #AS52460 CAPITAL S.A, CL
179.0.8.0/24 #AS52460 CAPITAL S.A, CL
179.189.216.0/23 #AS52411 Universidad del Desarrollo, CL
179.189.220.0/23 #AS272028 COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LIMITADA, CL
179.2.0.0/16 #AS22047 VTR BANDA ANCHA S.A., CL
179.3.0.0/17 #AS6535 Telmex Servicios Empresariales S.A., CL
179.3.128.0/21 #AS6535 Telmex Servicios Empresariales S.A., CL
179.3.136.0/22 #AS6535 Telmex Servicios Empresariales S.A., CL
179.3.140.0/24 #AS27995 CLARO CHILE S.A., CL
179.3.143.0/24 #AS27995 CLARO CHILE S.A., CL
179.3.144.0/21 #AS6535 Telmex Servicios Empresariales S.A., CL
179.3.152.0/22 #AS6535 Telmex Servicios Empresariales S.A., CL
179.4.0.0/16 #AS6535 Telmex Servicios Empresariales S.A., CL
179.4.244.0/22 #AS6429 Telmex Chile Internet S.A., CL
179.4.52.0/22 #AS6429 Telmex Chile Internet S.A., CL
179.4.56.0/21 #AS6429 Telmex Chile Internet S.A., CL
179.4.64.0/21 #AS6429 Telmex Chile Internet S.A., CL
179.4.72.0/22 #AS6429 Telmex Chile Internet S.A., CL
179.4.84.0/22 #AS6429 Telmex Chile Internet S.A., CL
179.4.88.0/22 #AS6429 Telmex Chile Internet S.A., CL
179.49.208.0/22 #AS270102 LINENET LIMITADA, CL
179.49.236.0/22 #AS271777 SITELCO SPA, CL
179.51.168.0/22 #AS271817 S.E.A. COMPUTACION SOLUCIONES TECNOLOGICAS SPA, CL
179.56.0.0/15 #AS14117 Telefonica del Sur S.A., CL
179.60.64.0/19 #AS27901 Pacifico Cable SPA., CL
179.61.200.0/24 #AS263702 GRUPO ZGH SPA, CL
179.61.96.0/20 #AS266900 SOC. TELEVISIVA CABLE SANTA JUANA LIMITADA., CL
179.63.228.0/22 #AS265642 INETAMERICAS COMUNICACIONES LIMITADA, CL
179.63.244.0/22 #AS52439 OPTIC TELECOMUNICACIONES LIMITADA, CL
179.8.0.0/15 #AS7418 TELEFONICA CHILE S.A., CL
181.114.232.0/21 #AS265714 TV CABLE DEL SUR LTDA, CL
181.118.160.0/20 #AS23416 TELEFONICA EMPRESAS CHILE SA, CL
181.160.0.0/14 #AS7418 TELEFONICA CHILE S.A., CL
181.172.0.0/15 #AS7418 TELEFONICA CHILE S.A., CL
