192.175.48.1/32 #AS1228 UNINET-ASNBLOCK, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
196.4.216.0/21 #AS3741 NTT-DATA-Inc, ZA
196.4.224.0/20 #AS3741 NTT-DATA-Inc, ZA
196.6.133.0/24 #AS3741 NTT-DATA-Inc, ZA
196.6.136.0/23 #AS3741 NTT-DATA-Inc, ZA
196.6.142.0/24 #AS3741 NTT-DATA-Inc, ZA
196.6.147.0/24 #AS3741 NTT-DATA-Inc, ZA
196.6.149.0/24 #AS3741 NTT-DATA-Inc, ZA
196.6.150.0/23 #AS3741 NTT-DATA-Inc, ZA
196.6.153.0/24 #AS3741 NTT-DATA-Inc, ZA
196.6.160.0/23 #AS3741 NTT-DATA-Inc, ZA
196.6.162.0/24 #AS3741 NTT-DATA-Inc, ZA
196.6.165.0/24 #AS3741 NTT-DATA-Inc, ZA
196.6.212.0/23 #AS3741 NTT-DATA-Inc, ZA
196.6.222.0/23 #AS3741 NTT-DATA-Inc, ZA
196.6.237.0/24 #AS3741 NTT-DATA-Inc, ZA
196.6.240.0/23 #AS3741 NTT-DATA-Inc, ZA
196.6.251.0/24 #AS3741 NTT-DATA-Inc, ZA
196.10.104.0/24 #AS3741 NTT-DATA-Inc, ZA
196.10.118.0/24 #AS3741 NTT-DATA-Inc, ZA
196.10.124.0/22 #AS3741 NTT-DATA-Inc, ZA
196.10.130.0/23 #AS3741 NTT-DATA-Inc, ZA
196.10.132.0/22 #AS3741 NTT-DATA-Inc, ZA
196.10.150.0/23 #AS3741 NTT-DATA-Inc, ZA
196.10.152.0/21 #AS3741 NTT-DATA-Inc, ZA
196.10.160.0/19 #AS3741 NTT-DATA-Inc, ZA
196.10.192.0/21 #AS3741 NTT-DATA-Inc, ZA
196.10.204.0/22 #AS3741 NTT-DATA-Inc, ZA
196.10.208.0/22 #AS3741 NTT-DATA-Inc, ZA
196.10.212.0/23 #AS3741 NTT-DATA-Inc, ZA
196.10.229.0/24 #AS3741 NTT-DATA-Inc, ZA
196.10.248.0/23 #AS3741 NTT-DATA-Inc, ZA
196.11.58.0/24 #AS3741 NTT-DATA-Inc, ZA
196.11.69.0/24 #AS3741 NTT-DATA-Inc, ZA
196.11.70.0/24 #AS3741 NTT-DATA-Inc, ZA
196.11.72.0/24 #AS3741 NTT-DATA-Inc, ZA
196.11.109.0/24 #AS3741 NTT-DATA-Inc, ZA
196.11.110.0/23 #AS3741 NTT-DATA-Inc, ZA
196.11.112.0/23 #AS3741 NTT-DATA-Inc, ZA
196.11.114.0/24 #AS3741 NTT-DATA-Inc, ZA
196.11.116.0/24 #AS3741 NTT-DATA-Inc, ZA
