192.175.48.1/32 #AS3460 IHEP Institute of High Energy Physics, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS3717 ERX-BUCT-NET Beijing University of Chemical Technology, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
117.27.224.0/20 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
117.27.240.0/21 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
117.27.248.0/22 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
117.27.253.0/24 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
117.27.254.0/23 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
120.39.192.0/19 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
120.39.243.0/24 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
120.39.244.0/24 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
120.39.248.0/24 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
120.39.251.0/24 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
120.39.252.0/24 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
121.204.128.0/18 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
121.204.192.0/20 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
121.204.208.0/21 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
121.204.216.0/22 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
121.204.220.0/23 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
121.204.224.0/21 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
121.204.232.0/23 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
121.207.224.0/19 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
125.77.16.0/20 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
125.77.178.0/23 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
125.77.180.0/22 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
125.77.184.0/22 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
125.77.188.0/24 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
150.242.96.0/22 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
203.15.0.0/20 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
203.104.32.0/20 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
211.155.108.0/22 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
211.155.112.0/22 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
218.66.100.0/22 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
218.66.104.0/24 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
218.66.111.0/24 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
220.162.237.0/24 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
220.162.238.0/23 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
220.162.240.0/24 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
220.162.242.0/24 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
220.162.244.0/24 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
220.162.246.0/23 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
220.162.248.0/21 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
222.77.176.0/22 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
222.77.181.0/24 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
222.77.182.0/24 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
222.77.185.0/24 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
222.77.186.0/23 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
222.77.188.0/22 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
222.79.64.0/18 #AS133774 CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN
27.159.96.0/21 #AS133775 CHINATELECOM-FUJIAN-XIAMEN-IDC1 Xiamen, CN
43.243.128.0/22 #AS133775 CHINATELECOM-FUJIAN-XIAMEN-IDC1 Xiamen, CN
45.251.8.0/22 #AS133775 CHINATELECOM-FUJIAN-XIAMEN-IDC1 Xiamen, CN
101.251.160.0/20 #AS133775 CHINATELECOM-FUJIAN-XIAMEN-IDC1 Xiamen, CN
101.251.176.0/22 #AS133775 CHINATELECOM-FUJIAN-XIAMEN-IDC1 Xiamen, CN
103.219.176.0/22 #AS133775 CHINATELECOM-FUJIAN-XIAMEN-IDC1 Xiamen, CN
103.230.236.0/22 #AS133775 CHINATELECOM-FUJIAN-XIAMEN-IDC1 Xiamen, CN
121.204.234.0/23 #AS133775 CHINATELECOM-FUJIAN-XIAMEN-IDC1 Xiamen, CN
121.204.236.0/22 #AS133775 CHINATELECOM-FUJIAN-XIAMEN-IDC1 Xiamen, CN
121.204.240.0/22 #AS133775 CHINATELECOM-FUJIAN-XIAMEN-IDC1 Xiamen, CN
150.242.80.0/22 #AS133775 CHINATELECOM-FUJIAN-XIAMEN-IDC1 Xiamen, CN
180.188.32.0/20 #AS133775 CHINATELECOM-FUJIAN-XIAMEN-IDC1 Xiamen, CN
218.98.96.0/21 #AS133775 CHINATELECOM-FUJIAN-XIAMEN-IDC1 Xiamen, CN
218.98.104.0/22 #AS133775 CHINATELECOM-FUJIAN-XIAMEN-IDC1 Xiamen, CN
218.98.108.0/23 #AS133775 CHINATELECOM-FUJIAN-XIAMEN-IDC1 Xiamen, CN
218.98.111.0/24 #AS133775 CHINATELECOM-FUJIAN-XIAMEN-IDC1 Xiamen, CN
218.98.112.0/20 #AS133775 CHINATELECOM-FUJIAN-XIAMEN-IDC1 Xiamen, CN
27.150.128.0/21 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
27.150.136.0/23 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
27.152.28.0/23 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
27.152.60.0/24 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
27.152.180.0/22 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
27.152.184.0/21 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
59.57.12.0/23 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
59.57.15.0/24 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
59.60.21.0/24 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
59.60.28.0/24 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
59.60.30.0/24 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
59.60.40.0/24 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
61.154.116.0/24 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
106.126.0.0/20 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
110.81.152.0/23 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
110.85.4.0/23 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
117.24.0.0/20 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
117.24.240.0/20 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
120.33.34.0/24 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
120.33.50.0/24 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
120.37.140.0/23 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
121.204.244.0/22 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
121.204.248.0/22 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
121.204.252.0/23 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
121.205.6.0/23 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
121.205.88.0/23 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
121.205.90.0/24 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
125.77.128.0/19 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
125.77.160.0/20 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
125.77.176.0/23 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
125.78.88.0/23 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
218.5.112.0/23 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
218.66.170.0/23 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
220.160.32.0/20 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
222.77.96.0/24 #AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou, CN
44.31.42.0/24 #AS133846 IMLONGHAO-AS-AP IMLONGHAO, CN
43.225.84.0/23 #AS133865 IQIYI-AS-AP Beijing IQIYI Science & Technology Co., Ltd., CN
43.225.87.0/24 #AS133865 IQIYI-AS-AP Beijing IQIYI Science & Technology Co., Ltd., CN
103.44.56.0/22 #AS133865 IQIYI-AS-AP Beijing IQIYI Science & Technology Co., Ltd., CN
103.98.125.0/24 #AS133865 IQIYI-AS-AP Beijing IQIYI Science & Technology Co., Ltd., CN
103.98.127.0/24 #AS133865 IQIYI-AS-AP Beijing IQIYI Science & Technology Co., Ltd., CN
103.98.248.0/23 #AS133865 IQIYI-AS-AP Beijing IQIYI Science & Technology Co., Ltd., CN
103.98.251.0/24 #AS133865 IQIYI-AS-AP Beijing IQIYI Science & Technology Co., Ltd., CN
103.98.252.0/22 #AS133865 IQIYI-AS-AP Beijing IQIYI Science & Technology Co., Ltd., CN
118.26.32.0/22 #AS133865 IQIYI-AS-AP Beijing IQIYI Science & Technology Co., Ltd., CN
118.26.96.0/21 #AS133865 IQIYI-AS-AP Beijing IQIYI Science & Technology Co., Ltd., CN
118.26.120.0/24 #AS133865 IQIYI-AS-AP Beijing IQIYI Science & Technology Co., Ltd., CN
118.26.126.0/23 #AS133865 IQIYI-AS-AP Beijing IQIYI Science & Technology Co., Ltd., CN
43.230.136.0/22 #AS133952 ZLTL-AS-AP Zhengzhou longling technology ltd., CN
103.49.196.0/24 #AS133952 ZLTL-AS-AP Zhengzhou longling technology ltd., CN
103.49.198.0/23 #AS133952 ZLTL-AS-AP Zhengzhou longling technology ltd., CN
103.90.80.0/22 #AS133952 ZLTL-AS-AP Zhengzhou longling technology ltd., CN
112.196.208.0/24 #AS133952 ZLTL-AS-AP Zhengzhou longling technology ltd., CN
150.107.61.0/24 #AS133952 ZLTL-AS-AP Zhengzhou longling technology ltd., CN
192.175.48.1/32 #AS134103 OPHL-AS-AP Oriental Power Holdings Limited, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
115.25.209.0/24 #AS134169 CERNEWTECHRES-AS-CN CERNEWTECH Beijing co.,LTD, CN
192.175.48.1/32 #AS134172 HJNTCL-CN Colocation at China Telecom Hong Kong datacenter at Shatin, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
59.53.48.0/23 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
59.53.51.0/24 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
59.53.52.0/22 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
59.53.56.0/21 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
59.53.64.0/20 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
59.53.84.0/23 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
59.53.90.0/23 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
59.53.92.0/22 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
59.63.156.0/22 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
59.63.160.0/19 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
59.63.196.0/22 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
59.63.208.0/20 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
59.63.224.0/19 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
106.225.128.0/19 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
106.225.192.0/18 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
106.227.0.0/21 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
106.227.8.0/22 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
106.227.32.0/21 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
117.21.238.0/23 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
117.21.243.0/24 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
117.21.246.0/23 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
117.21.248.0/22 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
117.21.252.0/23 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
117.41.160.0/19 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
117.41.224.0/19 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
182.106.184.0/21 #AS134238 CT-JIANGXI-IDC CHINANET Jiangx province IDC network, CN
82.38.7.0/24 #AS134413 KMNIX-AS-AP KMNIX LLC, CN
123.253.224.0/23 #AS134413 KMNIX-AS-AP KMNIX LLC, CN
180.97.120.0/21 #AS134417 CHINATELECOM-JIANGSU-NANJING-HEXI-IDC Nanjing, CN
192.175.48.1/32 #AS134418 CHINATELECOM-SHAANXI-XIXIAN-SMARTCLOUD-IDC SHAANXI province, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
106.127.184.0/21 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
113.14.100.0/22 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
113.14.104.0/21 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
113.14.112.0/20 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
113.14.208.0/21 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
113.15.160.0/19 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
113.17.0.0/19 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
116.8.5.0/24 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
116.10.48.0/20 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
116.10.64.0/20 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
116.11.0.0/19 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
116.11.32.0/22 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
116.253.176.0/21 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
171.108.160.0/20 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
171.109.144.0/20 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
171.110.24.0/21 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
171.110.32.0/21 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
180.137.96.0/19 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
180.142.64.0/21 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
180.142.128.0/21 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
180.143.152.0/21 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
180.143.168.0/21 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
202.103.214.0/23 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
202.103.247.0/24 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
218.21.104.0/21 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
218.21.112.0/21 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
218.65.132.0/24 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
218.65.152.0/24 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
218.65.168.0/24 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
218.65.192.0/21 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
218.65.224.0/21 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
219.159.192.0/20 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
219.159.251.0/24 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
220.173.216.0/21 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
220.173.224.0/21 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
222.83.188.0/22 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
222.83.192.0/20 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
222.83.244.0/22 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
222.216.219.0/24 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
222.217.104.0/21 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
222.217.182.0/24 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
222.218.146.0/23 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
222.218.148.0/22 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
222.218.152.0/21 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
222.218.160.0/20 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
222.218.176.0/21 #AS134419 CHINATELECOM-GUANGXI-BEIHAI-MAN Beihai, CN
61.128.171.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
61.128.172.0/23 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
61.128.194.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
61.128.196.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
61.128.198.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
61.161.69.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
61.186.250.0/23 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
61.186.252.0/23 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
61.186.254.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
113.249.68.0/22 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
113.249.80.0/20 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
113.249.96.0/19 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
113.249.144.0/20 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
113.250.0.0/20 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
113.250.16.0/21 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
113.250.24.0/23 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
113.250.48.0/20 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
113.250.80.0/21 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
113.250.160.0/19 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.0.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.6.0/23 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.8.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.10.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.12.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.16.0/21 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.24.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.27.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.29.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.30.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.32.0/21 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.40.0/23 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.43.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.44.0/23 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.46.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.48.0/20 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.69.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.70.0/23 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.72.0/23 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.75.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.76.0/22 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.80.0/22 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.84.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.87.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.91.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.94.0/23 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.97.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.98.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.105.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.121.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.126.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.128.0/19 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.160.0/20 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.84.240.0/21 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.85.56.0/21 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.85.64.0/19 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.85.128.0/19 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.86.0.0/21 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.86.8.0/22 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.86.192.0/21 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.86.216.0/21 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
119.86.240.0/21 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
183.66.64.0/22 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
183.66.96.0/20 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
203.2.64.0/23 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
203.2.112.0/22 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.151.128.0/19 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.151.176.0/20 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.152.32.0/22 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.152.48.0/20 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.152.80.0/20 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.152.96.0/21 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.152.166.0/23 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.152.168.0/21 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
