193.176.216.0/23 #AS21286 KPN-CORPORATE-MARKET KPN B.V., NL
193.202.32.0/23 #AS21286 KPN-CORPORATE-MARKET KPN B.V., NL
194.104.32.0/24 #AS21286 KPN-CORPORATE-MARKET KPN B.V., NL
194.104.59.0/24 #AS21286 KPN-CORPORATE-MARKET KPN B.V., NL
199.88.208.0/23 #AS21286 KPN-CORPORATE-MARKET KPN B.V., NL
85.234.240.0/23 #AS21315 ENGIE-SERVICES-SDO EQUANS Zuid-Nederland bv, NL
185.121.180.0/22 #AS21315 ENGIE-SERVICES-SDO EQUANS Zuid-Nederland bv, NL
193.254.254.0/23 #AS21315 ENGIE-SERVICES-SDO EQUANS Zuid-Nederland bv, NL
194.187.44.0/22 #AS21315 ENGIE-SERVICES-SDO EQUANS Zuid-Nederland bv, NL
217.148.16.0/20 #AS21315 ENGIE-SERVICES-SDO EQUANS Zuid-Nederland bv, NL
185.208.56.0/23 #AS205726 VUSAM Daan Jurriaan van Gorkum trading as Vusam V.O.F, NL
185.175.24.0/22 #AS206836 FORTYTWO Fortytwo Security BV, NL
91.194.0.0/23 #AS199408 BOL-COM bol.com BV, NL
91.194.14.0/23 #AS199408 BOL-COM bol.com BV, NL
91.195.0.0/23 #AS199408 BOL-COM bol.com BV, NL
185.14.168.0/22 #AS199408 BOL-COM bol.com BV, NL
23.136.20.0/24 #AS215248 BASTIAANBRINK Bastiaan Mathijs Brink, NL
23.155.132.0/24 #AS215248 BASTIAANBRINK Bastiaan Mathijs Brink, NL
44.30.107.0/24 #AS215248 BASTIAANBRINK Bastiaan Mathijs Brink, NL
103.149.168.0/24 #AS215248 BASTIAANBRINK Bastiaan Mathijs Brink, NL
66.201.1.0/24 #AS214415 NEBIUSPA10 Nebius B.V., NL
66.201.4.0/22 #AS214415 NEBIUSPA10 Nebius B.V., NL
185.175.108.0/22 #AS214415 NEBIUSPA10 Nebius B.V., NL
213.239.160.0/20 #AS214415 NEBIUSPA10 Nebius B.V., NL
151.241.10.0/24 #AS210320 FEXXIO-DIGITAL Cedric Hoogendoorn, NL
185.231.57.0/24 #AS38965 HOSTIN Rick van der Sterren trading as HostIn, NL
193.178.197.0/24 #AS38965 HOSTIN Rick van der Sterren trading as HostIn, NL
31.149.0.0/16 #AS1136 KPN KPN B.V., NL
31.160.0.0/15 #AS1136 KPN KPN B.V., NL
37.74.0.0/16 #AS1136 KPN KPN B.V., NL
37.251.0.0/17 #AS1136 KPN KPN B.V., NL
46.144.0.0/15 #AS1136 KPN KPN B.V., NL
46.227.232.0/21 #AS1136 KPN KPN B.V., NL
46.231.40.0/21 #AS1136 KPN KPN B.V., NL
46.243.40.0/21 #AS1136 KPN KPN B.V., NL
62.12.0.0/19 #AS1136 KPN KPN B.V., NL
62.21.128.0/17 #AS1136 KPN KPN B.V., NL
62.25.0.0/18 #AS1136 KPN KPN B.V., NL
62.41.28.0/22 #AS1136 KPN KPN B.V., NL
62.41.33.0/24 #AS1136 KPN KPN B.V., NL
62.41.34.0/23 #AS1136 KPN KPN B.V., NL
62.41.36.0/24 #AS1136 KPN KPN B.V., NL
62.41.38.0/23 #AS1136 KPN KPN B.V., NL
62.41.40.0/21 #AS1136 KPN KPN B.V., NL
62.41.48.0/21 #AS1136 KPN KPN B.V., NL
62.41.86.0/23 #AS1136 KPN KPN B.V., NL
62.41.88.0/21 #AS1136 KPN KPN B.V., NL
62.41.96.0/22 #AS1136 KPN KPN B.V., NL
62.41.100.0/23 #AS1136 KPN KPN B.V., NL
62.41.103.0/24 #AS1136 KPN KPN B.V., NL
62.41.104.0/21 #AS1136 KPN KPN B.V., NL
62.41.112.0/20 #AS1136 KPN KPN B.V., NL
62.41.128.0/19 #AS1136 KPN KPN B.V., NL
62.41.161.0/24 #AS1136 KPN KPN B.V., NL
62.41.162.0/23 #AS1136 KPN KPN B.V., NL
62.41.164.0/22 #AS1136 KPN KPN B.V., NL
62.41.168.0/21 #AS1136 KPN KPN B.V., NL
62.41.176.0/20 #AS1136 KPN KPN B.V., NL
62.41.192.0/18 #AS1136 KPN KPN B.V., NL
62.131.0.0/16 #AS1136 KPN KPN B.V., NL
62.132.4.0/22 #AS1136 KPN KPN B.V., NL
62.132.8.0/21 #AS1136 KPN KPN B.V., NL
62.132.20.0/22 #AS1136 KPN KPN B.V., NL
62.132.29.0/24 #AS1136 KPN KPN B.V., NL
