193.233.60.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
193.233.62.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
193.233.124.0/22 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
193.233.170.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
193.233.236.0/23 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
193.233.239.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
194.226.52.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
194.226.172.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
195.19.155.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
195.158.224.0/23 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
195.161.0.0/16 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
195.190.12.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
213.24.76.0/23 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
213.59.0.0/18 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
213.59.64.0/19 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
213.59.96.0/20 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
213.59.176.0/21 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
213.241.192.0/22 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
217.106.0.0/16 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
217.107.0.0/18 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
217.107.200.0/21 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
217.107.208.0/20 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
31.184.200.0/22 #AS207059 UNISENDER Unisender Smart LLC, RU
195.39.207.0/24 #AS207059 UNISENDER Unisender Smart LLC, RU
217.77.111.0/24 #AS207059 UNISENDER Unisender Smart LLC, RU
80.252.16.0/20 #AS39042 GLOBAL63RU-AS LLC Global Telecom Co, RU
185.53.106.0/24 #AS211343 NSK-LLCFLEX-AS LLC Flex, RU
94.228.166.0/24 #AS214697 KOMTEL Komtel LLC, RU
212.15.51.0/24 #AS214697 KOMTEL Komtel LLC, RU
151.0.40.0/21 #AS211101 MAXLINK Nasteka Maksim Viktorovich, RU
151.0.56.0/21 #AS211101 MAXLINK Nasteka Maksim Viktorovich, RU
176.121.192.0/20 #AS211101 MAXLINK Nasteka Maksim Viktorovich, RU
92.43.155.0/24 #AS60730 KA-INTERNET-AS JSC KA-INTERNET, RU
92.43.157.0/24 #AS60730 KA-INTERNET-AS JSC KA-INTERNET, RU
185.24.176.0/23 #AS60730 KA-INTERNET-AS JSC KA-INTERNET, RU
62.76.211.0/24 #AS60523 KAROFILM LLC KARO Film Management, RU
194.106.194.0/23 #AS9124 IKBFU Federal State Educational Institution of Higher Professional Education Russian State University of Immanuil Kant, RU
195.209.143.0/24 #AS204219 PETROLESPORT Joint-Stock Company Petrolesport, RU
188.72.79.0/24 #AS201571 TOYOTABANK-AS JSC Toyota Bank, RU
80.242.48.0/22 #AS44627 LINKSU-AS Link LLC, RU
92.63.184.0/22 #AS44627 LINKSU-AS Link LLC, RU
5.3.42.0/24 #AS62287 REGION-AS JSC ER-Telecom Holding, RU
