87.239.120.0/21 #AS39662 FI-FICORA-AS Finnish Transport and Communications Agency, FI
37.35.16.0/20 #AS39194 VSP Vakka-Suomen Puhelin Oy, FI
83.146.192.0/18 #AS39194 VSP Vakka-Suomen Puhelin Oy, FI
85.209.100.0/22 #AS39194 VSP Vakka-Suomen Puhelin Oy, FI
185.143.60.0/22 #AS39194 VSP Vakka-Suomen Puhelin Oy, FI
185.166.76.0/22 #AS207038 MLOY-AS Mtech Digital Solutions Oy, FI
87.236.168.0/21 #AS49059 SALOMAA-AS Salomaa Yhtiot Oy, FI
193.143.125.0/24 #AS210180 KALEVAFI Kaleva Oy, FI
193.143.126.0/23 #AS210180 KALEVAFI Kaleva Oy, FI
195.20.116.0/23 #AS25391 SSH-AS SSH Communications Security Corporation, FI
37.16.107.0/24 #AS203875 STRAND-AS Henri Strand, FI
109.71.185.0/24 #AS210536 XETNET Xetpoint Oy, FI
86.50.0.0/16 #AS1741 FUNETAS CSC - Tieteen tietotekniikan keskus Oy, FI
128.214.0.0/16 #AS1741 FUNETAS CSC - Tieteen tietotekniikan keskus Oy, FI
130.231.0.0/16 #AS1741 FUNETAS CSC - Tieteen tietotekniikan keskus Oy, FI
130.232.0.0/16 #AS1741 FUNETAS CSC - Tieteen tietotekniikan keskus Oy, FI
130.234.0.0/16 #AS1741 FUNETAS CSC - Tieteen tietotekniikan keskus Oy, FI
157.24.0.0/16 #AS1741 FUNETAS CSC - Tieteen tietotekniikan keskus Oy, FI
185.229.128.0/22 #AS1741 FUNETAS CSC - Tieteen tietotekniikan keskus Oy, FI
192.26.123.0/24 #AS1741 FUNETAS CSC - Tieteen tietotekniikan keskus Oy, FI
192.84.176.0/20 #AS1741 FUNETAS CSC - Tieteen tietotekniikan keskus Oy, FI
192.84.192.0/21 #AS1741 FUNETAS CSC - Tieteen tietotekniikan keskus Oy, FI
192.84.200.0/23 #AS1741 FUNETAS CSC - Tieteen tietotekniikan keskus Oy, FI
192.84.202.0/24 #AS1741 FUNETAS CSC - Tieteen tietotekniikan keskus Oy, FI
192.84.204.0/22 #AS1741 FUNETAS CSC - Tieteen tietotekniikan keskus Oy, FI
192.98.6.0/24 #AS1741 FUNETAS CSC - Tieteen tietotekniikan keskus Oy, FI
192.98.38.0/24 #AS1741 FUNETAS CSC - Tieteen tietotekniikan keskus Oy, FI
192.98.64.0/19 #AS1741 FUNETAS CSC - Tieteen tietotekniikan keskus Oy, FI
192.98.104.0/21 #AS1741 FUNETAS CSC - Tieteen tietotekniikan keskus Oy, FI
193.166.0.0/15 #AS1741 FUNETAS CSC - Tieteen tietotekniikan keskus Oy, FI
195.148.0.0/16 #AS1741 FUNETAS CSC - Tieteen tietotekniikan keskus Oy, FI
185.28.247.0/24 #AS31639 FI-PLANEETTA-ANYCAST Planeetta Internet Oy, FI
83.216.0.0/19 #AS51473 MAXISAT-AS Maxisat Oy, FI
62.72.224.0/19 #AS24751 MULTIFI-AS Jakobstadsnejdens Telefon Ab, FI
62.80.128.0/19 #AS24751 MULTIFI-AS Jakobstadsnejdens Telefon Ab, FI
85.134.0.0/17 #AS24751 MULTIFI-AS Jakobstadsnejdens Telefon Ab, FI
147.78.80.0/22 #AS24751 MULTIFI-AS Jakobstadsnejdens Telefon Ab, FI
193.222.133.0/24 #AS24751 MULTIFI-AS Jakobstadsnejdens Telefon Ab, FI
193.200.52.0/23 #AS204341 VALTORI-CLOUD-AS Valtion tieto - Ja viestintatekniikkakeskus Valtori, FI
185.192.15.0/24 #AS209299 AMB-CF-AS Ambientia Group Oy, FI
45.148.116.0/24 #AS209378 INIOS-AS Inios Oy, FI
85.208.0.0/22 #AS209378 INIOS-AS Inios Oy, FI
87.58.204.0/24 #AS209378 INIOS-AS Inios Oy, FI
87.58.213.0/24 #AS209378 INIOS-AS Inios Oy, FI
89.125.113.0/24 #AS209378 INIOS-AS Inios Oy, FI
89.125.169.0/24 #AS209378 INIOS-AS Inios Oy, FI
91.108.239.0/24 #AS209378 INIOS-AS Inios Oy, FI
103.110.64.0/24 #AS209378 INIOS-AS Inios Oy, FI
141.0.184.0/24 #AS209378 INIOS-AS Inios Oy, FI
150.251.152.0/24 #AS209378 INIOS-AS Inios Oy, FI
163.5.153.0/24 #AS209378 INIOS-AS Inios Oy, FI
192.124.181.0/24 #AS209378 INIOS-AS Inios Oy, FI
195.226.92.0/24 #AS209378 INIOS-AS Inios Oy, FI
91.219.172.0/22 #AS51726 STT-AS Oy Suomen Tietotoimisto - Finska Notisbyran Ab, FI
31.172.152.0/21 #AS198024 FI-ISTEKKI-AS Istekki Oy, FI
37.44.48.0/21 #AS198024 FI-ISTEKKI-AS Istekki Oy, FI
45.88.44.0/22 #AS198024 FI-ISTEKKI-AS Istekki Oy, FI
161.41.0.0/16 #AS198024 FI-ISTEKKI-AS Istekki Oy, FI
185.59.116.0/22 #AS198024 FI-ISTEKKI-AS Istekki Oy, FI
185.116.32.0/22 #AS198024 FI-ISTEKKI-AS Istekki Oy, FI
185.124.88.0/21 #AS198024 FI-ISTEKKI-AS Istekki Oy, FI
185.127.60.0/22 #AS198024 FI-ISTEKKI-AS Istekki Oy, FI
185.127.72.0/22 #AS198024 FI-ISTEKKI-AS Istekki Oy, FI
185.127.84.0/22 #AS198024 FI-ISTEKKI-AS Istekki Oy, FI
185.191.192.0/22 #AS198024 FI-ISTEKKI-AS Istekki Oy, FI
185.227.44.0/22 #AS198024 FI-ISTEKKI-AS Istekki Oy, FI
193.142.176.0/21 #AS198024 FI-ISTEKKI-AS Istekki Oy, FI
193.142.184.0/22 #AS198024 FI-ISTEKKI-AS Istekki Oy, FI
45.11.84.0/22 #AS8829 ELMONET-AS ElmoNet Oy, FI
62.106.0.0/19 #AS8829 ELMONET-AS ElmoNet Oy, FI
62.106.32.0/20 #AS8829 ELMONET-AS ElmoNet Oy, FI
109.204.168.0/21 #AS8829 ELMONET-AS ElmoNet Oy, FI
109.204.192.0/18 #AS8829 ELMONET-AS ElmoNet Oy, FI
185.158.72.0/22 #AS8829 ELMONET-AS ElmoNet Oy, FI
185.225.225.0/24 #AS8829 ELMONET-AS ElmoNet Oy, FI
87.239.120.0/24 #AS43558 FICORA-FI-ANYCAST Finnish Transport and Communications Agency, FI
185.16.96.0/24 #AS61177 NTG-AS NettiTieto Oy, FI
149.5.242.0/24 #AS51571 ALPIT-NORDIC-AS Alpit Nordic Oy, FI
195.64.102.0/24 #AS51571 ALPIT-NORDIC-AS Alpit Nordic Oy, FI
109.234.244.0/24 #AS50377 ITAITO-AS Dustin Finland Oy, FI
185.184.64.0/22 #AS50377 ITAITO-AS Dustin Finland Oy, FI
62.148.96.0/19 #AS206175 PKMKV Meidan IT ja talous Oy, FI
109.107.129.0/24 #AS210592 FINTRAFFIC-TIE Fintraffic Tie Oy, FI
185.55.32.0/22 #AS20542 HTV DNA Oyj, FI
37.16.112.0/20 #AS57664 FSOL-AS-SOUTH F-Solutions Oy, FI
193.24.100.0/24 #AS49430 PIHLAJALINNA-AS Pihlajalinna Terveys Oy, FI
83.143.56.0/21 #AS208281 DNARY Domestic Network Association ry, FI
45.146.248.0/22 #AS58340 NEVE Napapiirin Kuituverkot Oy, FI
