62.139.240.0/20 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.140.64.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.140.73.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.140.79.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.140.87.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.140.89.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.140.93.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.140.96.0/19 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.193.64.0/18 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
80.75.160.0/19 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.0.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.9.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.10.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.12.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.16.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.18.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.20.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.24.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.28.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.31.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.32.0/19 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.64.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.72.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.74.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.79.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.80.0/20 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.96.0/20 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.113.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.114.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.116.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.120.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.128.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.136.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.138.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.140.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.144.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.152.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.160.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.169.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.170.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.176.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.190.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.192.0/19 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.224.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.227.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.228.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.230.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.232.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.235.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.236.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.239.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.241.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.242.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.36.245.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.233.5.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.233.10.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.233.15.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.233.16.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.233.19.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.233.20.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.233.30.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.233.66.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.233.72.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.233.80.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.233.94.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.233.113.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.233.117.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.233.118.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.233.125.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
84.233.126.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
102.56.0.0/13 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
102.223.250.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
105.80.0.0/12 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
105.200.0.0/13 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
154.236.0.0/20 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
154.236.16.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
154.236.25.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
154.236.26.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
154.236.28.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
154.236.32.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
