103.195.208.0/20 #AS4758 NICNET-VSNL-BOARDER-AP National Informatics Centre, IN
103.207.128.0/24 #AS4758 NICNET-VSNL-BOARDER-AP National Informatics Centre, IN
137.59.128.0/24 #AS4758 NICNET-VSNL-BOARDER-AP National Informatics Centre, IN
164.100.0.0/16 #AS4758 NICNET-VSNL-BOARDER-AP National Informatics Centre, IN
112.198.30.0/24 #AS4797 WSM-AS-IN Wipro Spectramind Services Pvt Ltd BPO -INDIA, IN
121.240.174.0/24 #AS4797 WSM-AS-IN Wipro Spectramind Services Pvt Ltd BPO -INDIA, IN
202.54.210.0/24 #AS4797 WSM-AS-IN Wipro Spectramind Services Pvt Ltd BPO -INDIA, IN
202.81.131.0/24 #AS4797 WSM-AS-IN Wipro Spectramind Services Pvt Ltd BPO -INDIA, IN
202.81.132.0/23 #AS4797 WSM-AS-IN Wipro Spectramind Services Pvt Ltd BPO -INDIA, IN
202.81.136.0/24 #AS4797 WSM-AS-IN Wipro Spectramind Services Pvt Ltd BPO -INDIA, IN
202.81.139.0/24 #AS4797 WSM-AS-IN Wipro Spectramind Services Pvt Ltd BPO -INDIA, IN
202.81.147.0/24 #AS4797 WSM-AS-IN Wipro Spectramind Services Pvt Ltd BPO -INDIA, IN
202.81.148.0/23 #AS4797 WSM-AS-IN Wipro Spectramind Services Pvt Ltd BPO -INDIA, IN
202.81.150.0/24 #AS4797 WSM-AS-IN Wipro Spectramind Services Pvt Ltd BPO -INDIA, IN
202.81.152.0/24 #AS4797 WSM-AS-IN Wipro Spectramind Services Pvt Ltd BPO -INDIA, IN
202.81.155.0/24 #AS4797 WSM-AS-IN Wipro Spectramind Services Pvt Ltd BPO -INDIA, IN
202.81.157.0/24 #AS4797 WSM-AS-IN Wipro Spectramind Services Pvt Ltd BPO -INDIA, IN
192.175.48.1/32 #AS7494 POWERNET-AS-AP POWERNET, IN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
103.38.50.0/24 #AS7593 TRIJITNET-GDC TRIJIT TECHNOLOGIES PVT. LTD., IN
192.175.48.1/32 #AS7598 FUL-APAC-AS Forcepoint UK Limited, IN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
164.164.0.0/20 #AS7633 SOFTNET-AS-AP Software Technology Parks of India - Bangalore, IN
164.164.16.0/21 #AS7633 SOFTNET-AS-AP Software Technology Parks of India - Bangalore, IN
164.164.25.0/24 #AS7633 SOFTNET-AS-AP Software Technology Parks of India - Bangalore, IN
164.164.26.0/24 #AS7633 SOFTNET-AS-AP Software Technology Parks of India - Bangalore, IN
164.164.28.0/24 #AS7633 SOFTNET-AS-AP Software Technology Parks of India - Bangalore, IN
164.164.30.0/23 #AS7633 SOFTNET-AS-AP Software Technology Parks of India - Bangalore, IN
164.164.33.0/24 #AS7633 SOFTNET-AS-AP Software Technology Parks of India - Bangalore, IN
164.164.34.0/23 #AS7633 SOFTNET-AS-AP Software Technology Parks of India - Bangalore, IN
164.164.36.0/22 #AS7633 SOFTNET-AS-AP Software Technology Parks of India - Bangalore, IN
164.164.41.0/24 #AS7633 SOFTNET-AS-AP Software Technology Parks of India - Bangalore, IN
164.164.42.0/24 #AS7633 SOFTNET-AS-AP Software Technology Parks of India - Bangalore, IN
