185.145.4.0/22 #AS203081 GEENET Geenet OY, EE
91.208.15.0/24 #AS47525 TBB-AS AS TBB pank, EE
185.73.69.0/24 #AS206919 AGL-DIVISION-AS Carizma Invest OU, EE
45.156.32.0/22 #AS206844 RIKS Riigi Info- ja Kommunikatsioonitehnoloogia Keskus, EE
45.158.54.0/23 #AS206844 RIKS Riigi Info- ja Kommunikatsioonitehnoloogia Keskus, EE
80.250.120.0/22 #AS206844 RIKS Riigi Info- ja Kommunikatsioonitehnoloogia Keskus, EE
171.22.244.0/22 #AS206844 RIKS Riigi Info- ja Kommunikatsioonitehnoloogia Keskus, EE
185.125.241.0/24 #AS206844 RIKS Riigi Info- ja Kommunikatsioonitehnoloogia Keskus, EE
185.174.160.0/22 #AS206844 RIKS Riigi Info- ja Kommunikatsioonitehnoloogia Keskus, EE
31.58.222.0/23 #AS209554 ISIF-AS ISIF OU, EE
45.95.212.0/24 #AS209554 ISIF-AS ISIF OU, EE
151.240.12.0/23 #AS209554 ISIF-AS ISIF OU, EE
194.231.149.0/24 #AS209554 ISIF-AS ISIF OU, EE
147.28.0.0/23 #AS3130 RGNET-SEA RGnet OU, EE
198.180.153.0/24 #AS3130 RGNET-SEA RGnet OU, EE
37.49.224.0/22 #AS3920 PUSHPKT PUSHPKT OU, EE
37.49.228.0/23 #AS3920 PUSHPKT PUSHPKT OU, EE
77.247.111.0/24 #AS3920 PUSHPKT PUSHPKT OU, EE
84.247.19.0/24 #AS3920 PUSHPKT PUSHPKT OU, EE
103.88.42.0/24 #AS3920 PUSHPKT PUSHPKT OU, EE
117.18.118.0/24 #AS3920 PUSHPKT PUSHPKT OU, EE
117.55.202.0/23 #AS3920 PUSHPKT PUSHPKT OU, EE
185.53.90.0/23 #AS3920 PUSHPKT PUSHPKT OU, EE
185.209.15.0/24 #AS3920 PUSHPKT PUSHPKT OU, EE
185.241.206.0/24 #AS3920 PUSHPKT PUSHPKT OU, EE
205.237.104.0/22 #AS3920 PUSHPKT PUSHPKT OU, EE
212.237.231.0/24 #AS3920 PUSHPKT PUSHPKT OU, EE
