114.71.51.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
114.71.88.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
114.71.111.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
114.71.153.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
114.71.155.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
114.71.160.0/21 #AS3786 LGDACOM LG DACOM Corporation, KR
114.71.168.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
114.71.172.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
114.71.250.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
114.71.252.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
114.108.128.0/18 #AS3786 LGDACOM LG DACOM Corporation, KR
115.88.0.0/13 #AS3786 LGDACOM LG DACOM Corporation, KR
117.16.71.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
117.16.120.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
117.16.176.0/21 #AS3786 LGDACOM LG DACOM Corporation, KR
117.16.184.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
117.16.188.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
117.17.40.0/21 #AS3786 LGDACOM LG DACOM Corporation, KR
117.17.48.0/20 #AS3786 LGDACOM LG DACOM Corporation, KR
117.17.64.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
117.17.66.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
117.17.78.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
117.17.92.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
117.17.94.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
117.17.140.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
117.17.144.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
117.17.148.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
117.17.164.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
117.17.168.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
117.17.172.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
117.17.174.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
117.17.180.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
117.17.184.0/21 #AS3786 LGDACOM LG DACOM Corporation, KR
117.17.192.0/21 #AS3786 LGDACOM LG DACOM Corporation, KR
117.52.0.0/16 #AS3786 LGDACOM LG DACOM Corporation, KR
118.128.0.0/14 #AS3786 LGDACOM LG DACOM Corporation, KR
118.214.0.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
121.64.0.0/14 #AS3786 LGDACOM LG DACOM Corporation, KR
121.139.137.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
121.190.174.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
121.253.58.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
121.254.128.0/17 #AS3786 LGDACOM LG DACOM Corporation, KR
123.140.0.0/14 #AS3786 LGDACOM LG DACOM Corporation, KR
124.194.0.0/16 #AS3786 LGDACOM LG DACOM Corporation, KR
125.7.192.0/18 #AS3786 LGDACOM LG DACOM Corporation, KR
139.150.64.0/20 #AS3786 LGDACOM LG DACOM Corporation, KR
139.150.80.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
139.150.83.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
139.150.84.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
139.150.88.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
139.150.90.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
139.150.92.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
163.152.203.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
164.124.0.0/16 #AS3786 LGDACOM LG DACOM Corporation, KR
165.132.5.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
165.132.201.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
165.132.202.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
165.132.204.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
165.132.208.0/20 #AS3786 LGDACOM LG DACOM Corporation, KR
165.132.232.0/21 #AS3786 LGDACOM LG DACOM Corporation, KR
165.132.240.0/21 #AS3786 LGDACOM LG DACOM Corporation, KR
165.132.248.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
165.132.252.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
165.132.254.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
165.243.38.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
165.243.41.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
165.243.101.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
165.243.180.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
180.150.224.0/21 #AS3786 LGDACOM LG DACOM Corporation, KR
180.210.196.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
182.162.0.0/16 #AS3786 LGDACOM LG DACOM Corporation, KR
182.252.0.0/18 #AS3786 LGDACOM LG DACOM Corporation, KR
184.85.234.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
192.203.146.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
192.245.250.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
202.6.95.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
202.30.59.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
202.31.0.0/17 #AS3786 LGDACOM LG DACOM Corporation, KR
202.43.48.0/20 #AS3786 LGDACOM LG DACOM Corporation, KR
203.82.240.0/21 #AS3786 LGDACOM LG DACOM Corporation, KR
203.153.144.0/20 #AS3786 LGDACOM LG DACOM Corporation, KR
203.215.192.0/19 #AS3786 LGDACOM LG DACOM Corporation, KR
203.228.132.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
203.230.156.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
203.230.199.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
203.230.218.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
203.232.247.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
