203.119.44.0/22 #AS24089 VNNIC-AS-AP Vietnam Internet Network Information Center, VN
101.53.0.0/22 #AS24173 NETNAM-AS-AP Netnam Company, VN
101.53.4.0/23 #AS24173 NETNAM-AS-AP Netnam Company, VN
101.53.7.0/24 #AS24173 NETNAM-AS-AP Netnam Company, VN
101.53.8.0/22 #AS24173 NETNAM-AS-AP Netnam Company, VN
101.53.13.0/24 #AS24173 NETNAM-AS-AP Netnam Company, VN
101.53.14.0/23 #AS24173 NETNAM-AS-AP Netnam Company, VN
101.53.17.0/24 #AS24173 NETNAM-AS-AP Netnam Company, VN
101.53.18.0/23 #AS24173 NETNAM-AS-AP Netnam Company, VN
101.53.20.0/24 #AS24173 NETNAM-AS-AP Netnam Company, VN
101.53.22.0/23 #AS24173 NETNAM-AS-AP Netnam Company, VN
101.53.24.0/21 #AS24173 NETNAM-AS-AP Netnam Company, VN
101.53.32.0/19 #AS24173 NETNAM-AS-AP Netnam Company, VN
101.96.64.0/18 #AS24173 NETNAM-AS-AP Netnam Company, VN
119.15.160.0/19 #AS24173 NETNAM-AS-AP Netnam Company, VN
119.17.192.0/18 #AS24173 NETNAM-AS-AP Netnam Company, VN
154.81.60.0/24 #AS24173 NETNAM-AS-AP Netnam Company, VN
154.200.27.0/24 #AS24173 NETNAM-AS-AP Netnam Company, VN
202.151.160.0/20 #AS24173 NETNAM-AS-AP Netnam Company, VN
210.86.224.0/21 #AS24173 NETNAM-AS-AP Netnam Company, VN
210.86.232.0/22 #AS24173 NETNAM-AS-AP Netnam Company, VN
210.86.236.0/23 #AS24173 NETNAM-AS-AP Netnam Company, VN
210.86.239.0/24 #AS24173 NETNAM-AS-AP Netnam Company, VN
203.77.178.0/24 #AS24174 VKB-VN Vikki Digital Bank Limited, VN
