166.63.192.0/19 #AS1273 CW Vodafone Group PLC, XX
176.125.0.0/19 #AS1273 CW Vodafone Group PLC, XX
185.36.32.0/24 #AS1273 CW Vodafone Group PLC, XX
185.146.65.0/24 #AS1273 CW Vodafone Group PLC, XX
185.201.181.0/24 #AS1273 CW Vodafone Group PLC, XX
185.204.4.0/22 #AS1273 CW Vodafone Group PLC, XX
193.32.47.0/24 #AS1273 CW Vodafone Group PLC, XX
193.32.49.0/24 #AS1273 CW Vodafone Group PLC, XX
193.33.108.0/24 #AS1273 CW Vodafone Group PLC, XX
193.35.244.0/23 #AS1273 CW Vodafone Group PLC, XX
193.164.160.0/19 #AS1273 CW Vodafone Group PLC, XX
193.195.0.0/16 #AS1273 CW Vodafone Group PLC, XX
194.6.0.0/18 #AS1273 CW Vodafone Group PLC, XX
194.63.0.0/24 #AS1273 CW Vodafone Group PLC, XX
194.63.2.0/23 #AS1273 CW Vodafone Group PLC, XX
194.63.4.0/24 #AS1273 CW Vodafone Group PLC, XX
194.63.11.0/24 #AS1273 CW Vodafone Group PLC, XX
194.63.16.0/24 #AS1273 CW Vodafone Group PLC, XX
194.63.20.0/22 #AS1273 CW Vodafone Group PLC, XX
194.63.28.0/24 #AS1273 CW Vodafone Group PLC, XX
194.63.50.0/24 #AS1273 CW Vodafone Group PLC, XX
194.63.76.0/24 #AS1273 CW Vodafone Group PLC, XX
194.63.85.0/24 #AS1273 CW Vodafone Group PLC, XX
194.63.88.0/24 #AS1273 CW Vodafone Group PLC, XX
194.63.102.0/23 #AS1273 CW Vodafone Group PLC, XX
194.63.109.0/24 #AS1273 CW Vodafone Group PLC, XX
194.63.110.0/23 #AS1273 CW Vodafone Group PLC, XX
194.63.112.0/21 #AS1273 CW Vodafone Group PLC, XX
194.63.124.0/23 #AS1273 CW Vodafone Group PLC, XX
194.68.12.0/24 #AS1273 CW Vodafone Group PLC, XX
194.70.16.0/20 #AS1273 CW Vodafone Group PLC, XX
194.70.32.0/22 #AS1273 CW Vodafone Group PLC, XX
194.70.37.0/24 #AS1273 CW Vodafone Group PLC, XX
194.70.38.0/23 #AS1273 CW Vodafone Group PLC, XX
194.70.40.0/21 #AS1273 CW Vodafone Group PLC, XX
194.70.48.0/20 #AS1273 CW Vodafone Group PLC, XX
194.70.64.0/20 #AS1273 CW Vodafone Group PLC, XX
194.70.80.0/21 #AS1273 CW Vodafone Group PLC, XX
