192.175.48.1/32 #AS711 SB-COMM-AS - Torrejon Air Base, ES - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
154.62.64.0/23 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
154.62.67.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
154.62.234.0/23 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
154.62.251.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
158.172.140.0/23 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
158.172.142.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
176.98.220.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
176.98.223.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
178.19.44.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
178.19.47.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
185.66.60.0/22 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
185.123.122.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
185.155.64.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
185.155.67.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
185.187.180.0/23 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
185.187.182.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
185.203.20.0/23 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
185.203.22.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
185.224.76.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
185.224.79.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
185.229.215.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
185.242.175.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
193.34.241.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
193.186.11.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
195.5.64.0/19 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
212.49.128.0/18 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
212.66.161.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
212.66.162.0/23 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
212.66.164.0/22 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
