192.175.48.1/32 #AS6945 SVNet, SV - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
205.211.235.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
205.211.243.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
209.124.98.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
209.124.102.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
209.124.108.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
209.124.113.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
209.124.114.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
209.124.116.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
209.124.118.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
209.124.126.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.0.180.0/24 #AS27785 BANCO CUSCATLAN SV, S.A., SV
200.73.104.0/22 #AS27900 PLATINUM ENTERPRISES, S.A. DE C.V., SV
38.7.12.0/22 #AS27903 DIGICEL S.A. DE C.V., SV
38.56.208.0/22 #AS27903 DIGICEL S.A. DE C.V., SV
38.135.200.0/22 #AS27903 DIGICEL S.A. DE C.V., SV
138.255.152.0/22 #AS27903 DIGICEL S.A. DE C.V., SV
170.0.176.0/22 #AS27903 DIGICEL S.A. DE C.V., SV
200.89.80.0/21 #AS27903 DIGICEL S.A. DE C.V., SV
201.131.110.0/23 #AS61502 UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CANAS, SV
